image_name,annotation_id,category_id,category_name,bbox_orig_xywh,bbox_rect_xyxy,bbox_rect_xywh,gt_orientation,gt_width_mm,gt_dist_to_bottom_mm,gt_area_rect,transform_mode
Multimedia_46.jpg,1,1,cut_edge,"[219.0, 868.0, 333.0, 26.0]","[110.99016571044922, 562.88232421875, 345.6185607910156, 585.860595703125]","[110.99016571044922, 562.88232421875, 234.62838745117188, 22.978271484375]",horizontal,22.978271484375,214.139404296875,5391.354960104451,affine_metric
Multimedia_46.jpg,2,1,cut_edge,"[695.0, 867.0, 329.0, 24.0]","[446.2423400878906, 556.6530151367188, 678.0458374023438, 578.1153564453125]","[446.2423400878906, 556.6530151367188, 231.80349731445312, 21.46234130859375]",horizontal,21.46234130859375,221.8846435546875,4975.045775888488,affine_metric
Multimedia_43.jpg,9,1,cut_edge,"[399.0, 264.0, 13.0, 366.0]","[218.64453125, 114.833251953125, 235.19644165039062, 350.6687316894531]","[218.64453125, 114.833251953125, 16.551910400390625, 235.83547973632812]",vertical,16.551910400390625,449.3312683105469,3903.527729828842,affine_metric
Multimedia_43.jpg,10,1,cut_edge,"[407.0, 783.0, 20.0, 340.0]","[235.38265991210938, 449.0662536621094, 255.87152099609375, 668.292236328125]","[235.38265991210938, 449.0662536621094, 20.488861083984375, 219.22598266601562]",vertical,20.488861083984375,131.707763671875,4491.690704843961,affine_metric
Multimedia_31.jpg,11,1,cut_edge,"[321.0, 160.0, 30.0, 393.0]","[168.18663024902344, 78.78909301757812, 197.73219299316406, 325.73321533203125]","[168.18663024902344, 78.78909301757812, 29.545562744140625, 246.94412231445312]",vertical,29.545562744140625,474.26678466796875,7296.103060138412,affine_metric
Multimedia_31.jpg,12,1,cut_edge,"[307.0, 779.0, 31.0, 359.0]","[176.1903839111328, 467.53009033203125, 205.44161987304688, 693.12255859375]","[176.1903839111328, 467.53009033203125, 29.251235961914062, 225.59246826171875]",vertical,29.251235961914062,106.87744140625,6598.858520354144,affine_metric
Multimedia_41.jpg,16,1,cut_edge,"[383.0, 217.0, 33.0, 319.0]","[205.58677673339844, 104.11538696289062, 233.27281188964844, 333.4808044433594]","[205.58677673339844, 104.11538696289062, 27.68603515625, 229.36541748046875]",vertical,27.68603515625,466.5191955566406,6350.219011992216,affine_metric
Multimedia_41.jpg,17,1,cut_edge,"[384.0, 670.0, 19.0, 330.0]","[211.1202850341797, 429.7390441894531, 228.6102752685547, 666.9735717773438]","[211.1202850341797, 429.7390441894531, 17.489990234375, 237.23452758789062]",vertical,17.489990234375,133.02642822265625,4149.229570768774,affine_metric
Multimedia_36.jpg,24,1,cut_edge,"[255.0, 918.0, 355.0, 30.0]","[124.04081726074219, 588.2936401367188, 379.45086669921875, 612.9602661132812]","[124.04081726074219, 588.2936401367188, 255.41004943847656, 24.6666259765625]",horizontal,24.6666259765625,187.03973388671875,6300.104160154238,affine_metric
Multimedia_36.jpg,25,1,cut_edge,"[751.0, 923.0, 326.0, 37.0]","[480.5242919921875, 586.8082885742188, 715.1349487304688, 616.041015625]","[480.5242919921875, 586.8082885742188, 234.61065673828125, 29.23272705078125]",horizontal,29.23272705078125,183.958984375,6858.309291634709,affine_metric
