image_name,gap_id,gap_index,orientation,bbox_pred_xyxy,bbox_pred_xywh,pred_width_mm,pred_bbox_thickness_mm,score,quality_status,quality_reasons,robust_cv_distance,mean_distance_mm,median_distance_mm,trimmed_mean_distance_mm,recommended_distance_mm,n_valid_samples
Multimedia_31.jpg,0,0,vertical,"[170.0, 82.0, 188.0, 325.0]","[170, 82, 18, 243]",597.0,18.0,725.6032041651721,,,,,,,597.0,0
Multimedia_31.jpg,1,1,vertical,"[183.0, 538.0, 205.0, 692.0]","[183, 538, 22, 154]",185.5,22.0,516.748386379341,,,,,,,185.5,0
Multimedia_32.jpg,0,0,vertical,"[157.0, 77.0, 175.0, 243.0]","[157, 77, 18, 166]",640.5,18.0,537.4491528074426,,,,,,,640.5,0
Multimedia_32.jpg,1,1,vertical,"[183.0, 514.0, 204.0, 637.0]","[183, 514, 21, 123]",225.0,21.0,435.41196545236477,,,,,,,225.0,0
Multimedia_33.jpg,0,0,vertical,"[184.0, 91.0, 200.0, 339.0]","[184, 91, 16, 248]",585.5,16.0,732.0177316573357,,,,,,,585.5,0
Multimedia_33.jpg,1,1,vertical,"[183.0, 553.0, 200.0, 713.0]","[183, 553, 17, 160]",167.5,17.0,535.1528421401978,,,,,,,167.5,0
Multimedia_34.jpg,0,0,vertical,"[173.0, 86.0, 187.0, 270.0]","[173, 86, 14, 184]",622.5,14.0,580.5408636134604,,,,,,,622.5,0
Multimedia_34.jpg,1,1,vertical,"[163.0, 531.0, 178.0, 682.0]","[163, 531, 15, 151]",194.0,15.0,509.75913320061386,,,,,,,194.0,0
Multimedia_35.jpg,0,0,horizontal,"[130.0, 589.0, 376.0, 612.0]","[130, 589, 246, 23]",200.61158752441406,23.0,780.0014786720276,,,,,,,200.61158752441406,0
Multimedia_35.jpg,1,1,horizontal,"[476.0, 588.0, 714.0, 618.0]","[476, 588, 238, 30]",198.81692504882812,30.0,760.163026218254,,,,,,,198.81692504882812,0
Multimedia_36.jpg,0,0,horizontal,"[130.0, 589.0, 376.0, 612.0]","[130, 589, 246, 23]",200.61158752441406,23.0,780.0014786720276,,,,,,,200.61158752441406,0
Multimedia_36.jpg,1,1,horizontal,"[476.0, 588.0, 714.0, 618.0]","[476, 588, 238, 30]",198.81692504882812,30.0,760.163026218254,,,,,,,198.81692504882812,0
Multimedia_37.jpg,0,0,horizontal,"[123.0, 593.0, 356.0, 620.0]","[123, 593, 233, 27]",194.62496948242188,27.0,718.7128286736206,,,,,,,194.62496948242188,0
Multimedia_37.jpg,1,1,horizontal,"[452.0, 580.0, 677.0, 613.0]","[452, 580, 225, 33]",203.53570556640625,33.0,705.8117874092526,,,,,,,203.53570556640625,0
Multimedia_39.jpg,0,0,vertical,"[215.0, 107.0, 232.0, 339.0]","[215, 107, 17, 232]",577.5,17.0,725.5782270711044,,,,,,,577.5,0
Multimedia_39.jpg,1,1,vertical,"[220.0, 435.0, 237.0, 664.0]","[220, 435, 17, 229]",251.0,17.0,688.0291139236184,,,,,,,251.0,0
Multimedia_40.jpg,0,0,vertical,"[219.0, 111.0, 237.0, 346.0]","[219, 111, 18, 235]",572.0,18.0,748.8678804701948,,,,,,,572.0,0
Multimedia_40.jpg,1,1,vertical,"[223.0, 443.0, 242.0, 681.0]","[223, 443, 19, 238]",238.5,19.0,727.1601847836952,,,,,,,238.5,0
Multimedia_41.jpg,0,0,vertical,"[209.0, 104.0, 230.0, 335.0]","[209, 104, 21, 231]",581.0,21.0,743.713459626524,,,,,,,581.0,0
Multimedia_41.jpg,1,1,vertical,"[213.0, 431.0, 231.0, 665.0]","[213, 431, 18, 234]",252.5,18.0,717.3849200179435,,,,,,,252.5,0
Multimedia_41.jpg,2,2,horizontal,"[119.0, 565.0, 226.0, 585.0]","[119, 565, 107, 20]",232.3214111328125,20.0,385.1443967640957,,,,,,,232.3214111328125,0
Multimedia_41.jpg,3,3,vertical,"[146.0, 533.0, 165.0, 614.0]","[146, 533, 19, 81]",227.0,19.0,331.4944441124245,,,,,,,227.0,0
Multimedia_42.jpg,0,0,vertical,"[241.0, 128.0, 248.0, 199.0]","[241, 128, 7, 71]",637.0,7.0,310.77011827012177,,,,,,,637.0,0
Multimedia_42.jpg,1,1,vertical,"[272.0, 660.0, 281.0, 729.0]","[272, 660, 9, 69]",106.0,9.0,305.0439533572266,,,,,,,106.0,0
Multimedia_43.jpg,0,0,vertical,"[246.0, 599.0, 256.0, 669.0]","[246, 599, 10, 70]",166.5,10.0,305.9261663743428,,,,,,,166.5,0
Multimedia_43.jpg,1,1,vertical,"[220.0, 115.0, 227.0, 172.0]","[220, 115, 7, 57]",657.0,7.0,277.29149403321117,,,,,,,657.0,0
Multimedia_45.jpg,0,0,horizontal,"[111.0, 562.0, 349.0, 578.0]","[111, 562, 238, 16]",231.12051391601562,16.0,750.4726215719174,,,,,,,231.12051391601562,0
Multimedia_45.jpg,1,1,horizontal,"[523.0, 543.0, 690.0, 561.0]","[523, 543, 167, 18]",245.97320556640625,18.0,538.4385375976562,,,,,,,245.97320556640625,0
Multimedia_46.jpg,0,0,horizontal,"[114.0, 568.0, 344.0, 583.0]","[114, 568, 230, 15]",223.83480834960938,15.0,717.1840034298275,,,,,,,223.83480834960938,0
Multimedia_46.jpg,1,1,horizontal,"[531.0, 557.0, 678.0, 571.0]","[531, 557, 147, 14]",234.20533752441406,14.0,490.3551740883159,,,,,,,234.20533752441406,0
Multimedia_47.jpg,0,0,horizontal,"[112.0, 566.0, 353.0, 587.0]","[112, 566, 241, 21]",224.5,21.0,726.9001195187391,,,,,,,224.5,0
Multimedia_47.jpg,1,1,horizontal,"[537.0, 536.0, 684.0, 557.0]","[537, 536, 147, 21]",252.16070556640625,21.0,484.97670428736683,,,,,,,252.16070556640625,0
