image_name,px_per_mm,n_gaps,n_valid_gaps,image_mean_gap_width_mm,image_trimmed_mean_gap_width_mm,image_recommended_gap_width_mm,image_std_gap_width_mm,gap_id,gap_index,orientation,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,length_px,thickness_px,score,valid_for_metric,n_valid_samples,mean_distance_mm,median_distance_mm,trimmed_mean_distance_mm,trimmed_std_distance_mm,std_distance_mm,min_distance_mm,max_distance_mm,range_distance_mm,cv_distance,robust_cv_distance,recommended_distance_mm,n_trimmed_samples
Multimedia_31.jpg,1.0,2,2,6.989680290222168,6.915673017501831,6.915673017501831,0.4414703845977783,0,0,vertical,170.0,82.0,18.0,243.0,1911.0,243.0,18.0,725.6032041651721,True,10,6.750788688659668,6.396821022033691,6.474202632904053,3.4198341369628906,4.1063618659973145,1.8571319580078125,13.857131958007812,12.0,0.6082788330932944,0.5282247607731886,6.474202632904053,8
Multimedia_31.jpg,1.0,2,2,6.989680290222168,6.915673017501831,6.915673017501831,0.4414703845977783,1,1,vertical,183.0,538.0,22.0,154.0,1291.0,154.0,22.0,516.748386379341,True,10,7.228571891784668,7.285713195800781,7.357143402099609,2.8293204307556152,3.651216506958008,0.857147216796875,12.571426391601562,11.714279174804688,0.505108970571026,0.3845677970539725,7.357143402099609,8
Multimedia_32.jpg,1.0,2,2,6.1293652057647705,6.108134984970093,6.108134984970093,0.13790011405944824,0,0,vertical,157.0,77.0,18.0,166.0,1197.0,166.0,18.0,537.4491528074426,True,10,6.119044780731201,5.547621726989746,5.9702348709106445,2.7900779247283936,3.6300721168518066,0.857147216796875,12.571426391601562,11.714279174804688,0.593241632792566,0.4673313504503418,5.9702348709106445,8
Multimedia_32.jpg,1.0,2,2,6.1293652057647705,6.108134984970093,6.108134984970093,0.13790011405944824,1,1,vertical,183.0,514.0,21.0,123.0,894.0,123.0,21.0,435.41196545236477,True,10,6.13968563079834,5.984127998352051,6.246035099029541,2.3007211685180664,3.0934927463531494,0.5714263916015625,10.857147216796875,10.285720825195312,0.5038519775076666,0.3683490617712882,6.246035099029541,8
Multimedia_33.jpg,1.0,2,2,7.02777624130249,7.079361915588379,7.079361915588379,0.8908729553222656,0,0,vertical,184.0,91.0,16.0,248.0,1821.0,248.0,16.0,732.0177316573357,True,10,6.393650054931641,5.5,6.188488960266113,3.219979763031006,4.067633628845215,0.857147216796875,13.571441650390625,12.71429443359375,0.6361989777197314,0.5203176063987909,6.188488960266113,8
Multimedia_33.jpg,1.0,2,2,7.02777624130249,7.079361915588379,7.079361915588379,0.8908729553222656,1,1,vertical,183.0,553.0,17.0,160.0,1432.0,160.0,17.0,535.1528421401978,True,10,7.66190242767334,8.16666030883789,7.9702348709106445,2.567124366760254,3.443912982940674,0.857147216796875,12.0,11.142852783203125,0.44948536156006275,0.3220889231419783,7.9702348709106445,8
Multimedia_34.jpg,1.0,2,2,6.6809515953063965,6.761904716491699,6.761904716491699,0.6726226806640625,0,0,vertical,173.0,86.0,14.0,184.0,1324.0,184.0,14.0,580.5408636134604,True,10,6.142851829528809,5.761911392211914,6.089282035827637,2.670325756072998,3.430158853530884,0.8571319580078125,11.857131958007812,11.0,0.5583984358929257,0.4385288348218306,6.089282035827637,8
Multimedia_34.jpg,1.0,2,2,6.6809515953063965,6.761904716491699,6.761904716491699,0.6726226806640625,1,1,vertical,163.0,531.0,15.0,151.0,1263.0,151.0,15.0,509.75913320061386,True,10,7.219051361083984,7.380947113037109,7.434527397155762,2.4885759353637695,3.3451647758483887,0.857147216796875,11.857147216796875,11.0,0.46338010474358116,0.3347322300965395,7.434527397155762,8
Multimedia_35.jpg,1.0,2,2,11.2158842086792,10.86707592010498,10.86707592010498,0.26389122009277344,0,0,horizontal,130.0,589.0,246.0,23.0,2886.0,246.0,23.0,780.0014786720276,True,10,10.688901901245117,11.0,10.603184700012207,1.4879536628723145,1.8431254625320435,8.206422805786133,13.85711669921875,5.650693893432617,0.1724335651651311,0.14033082559342774,10.603184700012207,8
Multimedia_35.jpg,1.0,2,2,11.2158842086792,10.86707592010498,10.86707592010498,0.26389122009277344,1,1,horizontal,476.0,588.0,238.0,30.0,2833.0,238.0,30.0,760.163026218254,True,10,11.742866516113281,11.976187705993652,11.130967140197754,1.438012957572937,3.14676570892334,8.3809232711792,20.0,11.6190767288208,0.26797253503694546,0.12919029761392226,11.130967140197754,8
Multimedia_36.jpg,1.0,2,2,11.2158842086792,10.86707592010498,10.86707592010498,0.26389122009277344,0,0,horizontal,130.0,589.0,246.0,23.0,2886.0,246.0,23.0,780.0014786720276,True,10,10.688901901245117,11.0,10.603184700012207,1.4879536628723145,1.8431254625320435,8.206422805786133,13.85711669921875,5.650693893432617,0.1724335651651311,0.14033082559342774,10.603184700012207,8
Multimedia_36.jpg,1.0,2,2,11.2158842086792,10.86707592010498,10.86707592010498,0.26389122009277344,1,1,horizontal,476.0,588.0,238.0,30.0,2833.0,238.0,30.0,760.163026218254,True,10,11.742866516113281,11.976187705993652,11.130967140197754,1.438012957572937,3.14676570892334,8.3809232711792,20.0,11.6190767288208,0.26797253503694546,0.12919029761392226,11.130967140197754,8
Multimedia_37.jpg,1.0,2,2,8.757941722869873,8.607137680053711,8.607137680053711,0.6051750183105469,0,0,horizontal,123.0,593.0,233.0,27.0,2132.0,233.0,27.0,718.7128286736206,True,10,8.187299728393555,7.999969482421875,8.001962661743164,1.3079493045806885,1.7948012351989746,6.00006103515625,11.85723876953125,5.857177734375,0.2192177268134699,0.16345356256583207,8.001962661743164,8
Multimedia_37.jpg,1.0,2,2,8.757941722869873,8.607137680053711,8.607137680053711,0.6051750183105469,1,1,horizontal,452.0,580.0,225.0,33.0,2224.0,225.0,33.0,705.8117874092526,True,10,9.328583717346191,9.277799606323242,9.212312698364258,1.756005883216858,2.227076292037964,6.301575183868408,13.2857666015625,6.984191417694092,0.2387368071636415,0.19061509750191774,9.212312698364258,8
Multimedia_39.jpg,1.0,2,2,8.033331394195557,7.836309194564819,7.836309194564819,1.2648756504058838,0,0,vertical,215.0,107.0,17.0,232.0,2330.0,232.0,17.0,725.5782270711044,True,10,9.266660690307617,8.857147216796875,9.101184844970703,1.4012269973754883,1.8427115678787231,6.9999847412109375,12.857131958007812,5.857147216796875,0.19885389456485564,0.15396094258538257,9.101184844970703,8
Multimedia_39.jpg,1.0,2,2,8.033331394195557,7.836309194564819,7.836309194564819,1.2648756504058838,1,1,vertical,220.0,435.0,17.0,229.0,1642.0,229.0,17.0,688.0291139236184,True,10,6.800002098083496,7.0,6.5714335441589355,1.8667343854904175,2.7279434204101562,2.999969482421875,12.4285888671875,9.428619384765625,0.40116802628325604,0.28406806109295246,6.5714335441589355,8
Multimedia_40.jpg,1.0,2,2,9.34047269821167,9.21428108215332,9.21428108215332,1.142862319946289,0,0,vertical,219.0,111.0,18.0,235.0,2695.0,235.0,18.0,748.8678804701948,True,10,10.128572463989258,10.428565979003906,10.35714340209961,0.9688951969146729,2.238302707672119,4.7142791748046875,13.71429443359375,9.000015258789062,0.22098896124109252,0.09354849684887606,10.35714340209961,8
Multimedia_40.jpg,1.0,2,2,9.34047269821167,9.21428108215332,9.21428108215332,1.142862319946289,1,1,vertical,223.0,443.0,19.0,238.0,2087.0,238.0,19.0,727.1601847836952,True,10,8.552372932434082,8.499977111816406,8.071418762207031,1.4802172183990479,2.7537834644317627,5.523807525634766,15.428573608398438,9.904766082763672,0.3219905733984417,0.1833899667466021,8.071418762207031,8
