image_name,gap_id,gap_index,orientation,valid_for_metric,score,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,length_px,thickness_px,mean_width_px,mean_width_mm_nb04,n_valid_samples,n_trimmed_samples,mean_distance_mm,median_distance_mm,trimmed_mean_distance_mm,recommended_distance_mm,std_distance_mm,trimmed_std_distance_mm,min_distance_mm,max_distance_mm,range_distance_mm,cv_distance,robust_cv_distance
Multimedia_31.jpg,0,0,vertical,True,725.6032041651721,170.0,82.0,18.0,243.0,1911.0,243.0,18.0,6.857141017913818,6.857141017913818,10,8,596.9999389648438,597.0,597.0,597.0,77.23245239257812,61.61018371582031,476.0,718.0,242.0,0.12936760517345078,0.1031996377149419
Multimedia_31.jpg,1,1,vertical,True,516.748386379341,183.0,538.0,22.0,154.0,1291.0,154.0,22.0,7.3729119300842285,7.3729119300842285,10,8,185.5,185.5,185.5,185.5,48.82878112792969,38.9518928527832,109.0,262.0,153.0,0.26322793060878535,0.2099832498802329
Multimedia_32.jpg,0,0,vertical,True,537.4491528074426,157.0,77.0,18.0,166.0,1197.0,166.0,18.0,6.201371192932129,6.201371192932129,10,8,640.5,640.5,640.5,640.5,52.65849685668945,42.006954193115234,558.0,723.0,165.0,0.0822146711267595,0.06558462793616743
Multimedia_32.jpg,1,1,vertical,True,435.41196545236477,183.0,514.0,21.0,123.0,894.0,123.0,21.0,6.2543559074401855,6.2543559074401855,10,8,225.0,225.0,225.0,225.0,38.93537521362305,31.059688568115234,164.0,286.0,122.0,0.17304611206054688,0.1380430603027344
Multimedia_33.jpg,0,0,vertical,True,732.0177316573357,184.0,91.0,16.0,248.0,1821.0,248.0,16.0,6.3364081382751465,6.3364081382751465,10,8,585.5,585.5,585.5,585.5,78.82815551757812,62.88311004638672,462.0,709.0,247.0,0.13463391207101302,0.10740070033541711
Multimedia_33.jpg,1,1,vertical,True,535.1528421401978,183.0,553.0,17.0,160.0,1432.0,160.0,17.0,7.939286231994629,7.939286231994629,10,8,167.5,167.5,167.5,167.5,50.74363327026367,40.47941589355469,88.0,247.0,159.0,0.3029470643000816,0.2416681545883862
Multimedia_34.jpg,0,0,vertical,True,580.5408636134604,173.0,86.0,14.0,184.0,1324.0,184.0,14.0,6.1863298416137695,6.1863298416137695,10,8,622.5,622.5,622.5,622.5,58.40305709838867,46.58953094482422,531.0,714.0,183.0,0.09382017204560429,0.0748426199916855
Multimedia_34.jpg,1,1,vertical,True,509.75913320061386,163.0,531.0,15.0,151.0,1263.0,151.0,15.0,7.3528900146484375,7.3528900146484375,10,8,194.0,194.0,194.0,194.0,47.87135314941406,38.18812561035156,119.0,269.0,150.0,0.24675955231656732,0.19684600830078125
Multimedia_35.jpg,0,0,horizontal,True,780.0014786720276,130.0,589.0,246.0,23.0,2886.0,246.0,23.0,10.724748611450195,10.724748611450195,10,8,205.64443969726562,205.0,205.32339477539062,205.32339477539062,2.175253391265869,1.5286598205566406,203.42852783203125,210.4285888671875,7.00006103515625,0.010577739881847108,0.007445132213155189
Multimedia_35.jpg,1,1,horizontal,True,760.163026218254,476.0,588.0,238.0,30.0,2833.0,238.0,30.0,10.897367477416992,10.897367477416992,10,8,203.99998474121094,204.9761962890625,204.0714111328125,204.0714111328125,4.721158981323242,3.5998032093048096,196.0,211.4285888671875,15.4285888671875,0.023142937914002206,0.017639919228872328
Multimedia_36.jpg,0,0,horizontal,True,780.0014786720276,130.0,589.0,246.0,23.0,2886.0,246.0,23.0,10.724748611450195,10.724748611450195,10,8,205.64443969726562,205.0,205.32339477539062,205.32339477539062,2.175253391265869,1.5286598205566406,203.42852783203125,210.4285888671875,7.00006103515625,0.010577739881847108,0.007445132213155189
Multimedia_36.jpg,1,1,horizontal,True,760.163026218254,476.0,588.0,238.0,30.0,2833.0,238.0,30.0,10.897367477416992,10.897367477416992,10,8,203.99998474121094,204.9761962890625,204.0714111328125,204.0714111328125,4.721158981323242,3.5998032093048096,196.0,211.4285888671875,15.4285888671875,0.023142937914002206,0.017639919228872328
Multimedia_37.jpg,0,0,horizontal,True,718.7128286736206,123.0,593.0,233.0,27.0,2132.0,233.0,27.0,8.142866134643555,8.142866134643555,10,8,198.48092651367188,197.49993896484375,198.13687133789062,198.13687133789062,4.12839412689209,3.22198748588562,193.4285888671875,206.28564453125,12.8570556640625,0.020799953927097953,0.016261423046248863
